year,category,prize,motivation,prize_share,laureate_type,full_name,birth_date,birth_city,birth_country,birth_country_current,sex,organization_name,organization_city,organization_country,ISO,winning_age
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3-Jan,Individual,Sir Nevill Francis Mott,1905-09-30,Leeds,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR,72.0
1978,Chemistry,The Nobel Prize in Chemistry 1978,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",1-Jan,Individual,Peter D. Mitchell,1920-09-29,Mitcham,United Kingdom,United Kingdom,Male,Glynn Research Laboratories,Bodmin,United Kingdom,GBR,58.0
1978,Economics,The Sveriges Riksbank Prize in Economic Sciences 1978,"""for his pioneering research into the decision-making process within economic organizations""",1-Jan,Individual,Herbert A. Simon,1916-06-15,"Milwaukee, WI",United States of America,United States of America,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,USA,62.0
1978,Literature,The Nobel Prize in Literature 1978,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",1-Jan,Individual,Isaac Bashevis Singer,1904-07-14,Leoncin,Russian Empire (Poland),Poland,Male,,,,POL,74.0
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3-Jan,Individual,Daniel Nathans,1928-10-30,"Wilmington, DE",United States of America,United States of America,Male,Johns Hopkins University,"Baltimore, MD",United States of America,USA,50.0
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3-Jan,Individual,Hamilton O. Smith,1931-08-23,"New York, NY",United States of America,United States of America,Male,Johns Hopkins University,"Baltimore, MD",United States of America,USA,47.0
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3-Jan,Individual,Werner Arber,1929-06-03,Gränichen,Switzerland,Switzerland,Male,Biozentrum der Universität,Basel,Switzerland,CHE,49.0
1978,Peace,The Nobel Peace Prize 1978,,2-Jan,Individual,Menachem Begin,1913-08-16,Brest Litovsk,Russian Empire (Belarus),Belarus,Male,,,,BLR,65.0
1978,Peace,The Nobel Peace Prize 1978,,2-Jan,Individual,Mohamed Anwar al-Sadat,1918-12-25,Mit Abu al-Kawm,Egypt,Egypt,Male,,,,EGY,60.0
1978,Physics,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation""",4-Jan,Individual,Arno Allan Penzias,1933-04-26,Munich,Germany,Germany,Male,Bell Laboratories,"Holmdel, NJ",United States of America,DEU,45.0
1978,Physics,The Nobel Prize in Physics 1978,"""for his basic inventions and discoveries in the area of low-temperature physics""",2-Jan,Individual,Pyotr Leonidovich Kapitsa,1894-07-09,Kronshtadt,Russian Empire (Russia),Russia,Male,Academy of Sciences,Moscow,Russia,RUS,84.0
1978,Physics,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation""",4-Jan,Individual,Robert Woodrow Wilson,1936-01-10,"Houston, TX",United States of America,United States of America,Male,Bell Laboratories,"Holmdel, NJ",United States of America,USA,42.0
1979,Chemistry,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",2-Jan,Individual,Georg Wittig,1897-06-16,Berlin,Germany,Germany,Male,University of Heidelberg,Heidelberg,Germany,DEU,82.0
1979,Chemistry,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",2-Jan,Individual,Herbert C. Brown,1912-05-22,London,United Kingdom,United Kingdom,Male,Purdue University,"West Lafayette, IN",United States of America,GBR,67.0
1979,Economics,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",2-Jan,Individual,Sir Arthur Lewis,1915-01-23,Castries,British West Indies (Saint Lucia),Saint Lucia,Male,Princeton University,"Princeton, NJ",United States of America,LCA,64.0
1979,Economics,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",2-Jan,Individual,Theodore W. Schultz,1902-04-30,"Arlington, SD",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America,USA,77.0
1979,Literature,The Nobel Prize in Literature 1979,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",1-Jan,Individual,Odysseus Elytis,1911-11-02,Iráklion,Crete (Greece),Greece,Male,,,,GRC,68.0
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",2-Jan,Individual,Allan M. Cormack,1924-02-23,Johannesburg,South Africa,South Africa,Male,Tufts University,"Medford, MA",United States of America,ZAF,55.0
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",2-Jan,Individual,Godfrey N. Hounsfield,1919-08-28,Newark,United Kingdom,United Kingdom,Male,"Central Research Laboratories, EMI",London,United Kingdom,GBR,60.0
1979,Peace,The Nobel Peace Prize 1979,,1-Jan,Organization,Mother Teresa,1910-08-26,Uskup (Skopje),Ottoman Empire (Republic of Macedonia),Republic of Macedonia,Female,,,,MKD,69.0
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3-Jan,Individual,Abdus Salam,1926-01-29,Jhang,India (Pakistan),Pakistan,Male,International Centre for Theoretical Physics,Trieste,Italy,PAK,53.0
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3-Jan,Individual,Sheldon Lee Glashow,1932-12-05,"New York, NY",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA,47.0
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3-Jan,Individual,Steven Weinberg,1933-05-03,"New York, NY",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA,46.0
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",4-Jan,Individual,Frederick Sanger,1918-08-13,Rendcombe,United Kingdom,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,GBR,62.0
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",2-Jan,Individual,Paul Berg,1926-06-30,"New York, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,USA,54.0
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",4-Jan,Individual,Walter Gilbert,1932-03-21,"Boston, MA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA,48.0
1980,Economics,The Sveriges Riksbank Prize in Economic Sciences 1980,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",1-Jan,Individual,Lawrence R. Klein,1920-09-14,"Omaha, NE",United States of America,United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,USA,60.0
1980,Literature,The Nobel Prize in Literature 1980,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",1-Jan,Individual,Czeslaw Milosz,1911-06-30,Šeteniai,Russian Empire (Lithuania),Lithuania,Male,,,,LTU,69.0
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3-Jan,Individual,Baruj Benacerraf,1920-10-29,Caracas,Venezuela,Venezuela,Male,Harvard Medical School,"Boston, MA",United States of America,VEN,60.0
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3-Jan,Individual,George D. Snell,1903-12-19,"Bradford, MA",United States of America,United States of America,Male,Jackson Laboratory,"Bar Harbor, ME",United States of America,USA,77.0
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3-Jan,Individual,Jean Dausset,1916-10-19,Toulouse,France,France,Male,"Université de Paris, Laboratoire Immuno-Hématologie",Paris,France,FRA,64.0
1980,Peace,The Nobel Peace Prize 1980,,1-Jan,Individual,Adolfo Pérez Esquivel,1931-11-26,Buenos Aires,Argentina,Argentina,Male,,,,ARG,49.0
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",2-Jan,Individual,James Watson Cronin,1931-09-29,"Chicago, IL",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America,USA,49.0
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",2-Jan,Individual,Val Logsdon Fitch,1923-03-10,"Merriman, NE",United States of America,United States of America,Male,Princeton University,"Princeton, NJ",United States of America,USA,57.0
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",2-Jan,Individual,Kenichi Fukui,1918-10-04,Nara,Japan,Japan,Male,Kyoto University,Kyoto,Japan,JPN,63.0
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",2-Jan,Individual,Roald Hoffmann,1937-07-18,Zloczov,Poland (Ukraine),Ukraine,Male,Cornell University,"Ithaca, NY",United States of America,UKR,44.0
1981,Economics,The Sveriges Riksbank Prize in Economic Sciences 1981,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",1-Jan,Individual,James Tobin,1918-03-05,"Champaign, IL",United States of America,United States of America,Male,Yale University,"New Haven, CT",United States of America,USA,63.0
1981,Literature,The Nobel Prize in Literature 1981,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",1-Jan,Individual,Elias Canetti,1905-07-25,Ruse,Bulgaria,Bulgaria,Male,,,,BGR,76.0
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",4-Jan,Individual,David H. Hubel,1926-02-27,"Windsor, ON",Canada,Canada,Male,Harvard Medical School,"Boston, MA",United States of America,CAN,55.0
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",2-Jan,Individual,Roger W. Sperry,1913-08-20,"Hartford, CT",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,USA,68.0
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",4-Jan,Individual,Torsten N. Wiesel,1924-06-03,Uppsala,Sweden,Sweden,Male,Harvard Medical School,"Boston, MA",United States of America,SWE,57.0
1981,Peace,The Nobel Peace Prize 1981,,1-Jan,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",4-Jan,Individual,Arthur Leonard Schawlow,1921-05-05,"Mount Verno, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,USA,60.0
1981,Physics,The Nobel Prize in Physics 1981,"""for his contribution to the development of high-resolution electron spectroscopy""",2-Jan,Individual,Kai M. Siegbahn,1918-04-20,Lund,Sweden,Sweden,Male,Uppsala University,Uppsala,Sweden,SWE,63.0
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",4-Jan,Individual,Nicolaas Bloembergen,1920-03-11,Dordrecht,Netherlands,Netherlands,Male,Harvard University,"Cambridge, MA",United States of America,NLD,61.0
1982,Chemistry,The Nobel Prize in Chemistry 1982,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",1-Jan,Individual,Aaron Klug,1926-08-11,Zelvas,Lithuania,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,LTU,56.0
1982,Economics,The Sveriges Riksbank Prize in Economic Sciences 1982,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",1-Jan,Individual,George J. Stigler,1911-01-17,"Renton, WA",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America,USA,71.0
1982,Literature,The Nobel Prize in Literature 1982,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",1-Jan,Individual,Gabriel García Márquez,1927-03-06,Aracataca,Colombia,Colombia,Male,,,,COL,55.0
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",3-Jan,Individual,Bengt I. Samuelsson,1934-05-21,Halmstad,Sweden,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,SWE,48.0
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",3-Jan,Individual,John R. Vane,1927-03-29,Tardebigg,United Kingdom,United Kingdom,Male,The Wellcome Research Laboratories,Beckenham,United Kingdom,GBR,55.0
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",3-Jan,Individual,Sune K. Bergström,1916-01-10,Stockholm,Sweden,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,SWE,66.0
1982,Peace,The Nobel Peace Prize 1982,,2-Jan,Individual,Alfonso García Robles,1911-03-20,Zamora,Mexico,Mexico,Male,,,,MEX,71.0
1982,Peace,The Nobel Peace Prize 1982,,2-Jan,Individual,Alva Myrdal,1902-01-31,Uppsala,Sweden,Sweden,Female,,,,SWE,80.0
1982,Physics,The Nobel Prize in Physics 1982,"""for his theory for critical phenomena in connection with phase transitions""",1-Jan,Individual,Kenneth G. Wilson,1936-06-08,"Waltham, MA",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,USA,46.0
1983,Chemistry,The Nobel Prize in Chemistry 1983,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",1-Jan,Individual,Henry Taube,1915-11-30,Neudorf,Canada,Canada,Male,Stanford University,"Stanford, CA",United States of America,CAN,68.0
1983,Economics,The Sveriges Riksbank Prize in Economic Sciences 1983,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",1-Jan,Individual,Gerard Debreu,1921-07-04,Calais,France,France,Male,University of California,"Berkeley, CA",United States of America,FRA,62.0
1983,Literature,The Nobel Prize in Literature 1983,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",1-Jan,Individual,William Golding,1911-09-19,St. Columb Minor,United Kingdom,United Kingdom,Male,,,,GBR,72.0
1983,Medicine,The Nobel Prize in Physiology or Medicine 1983,"""for her discovery of mobile genetic elements""",1-Jan,Individual,Barbara McClintock,1902-06-16,"Hartford, CT",United States of America,United States of America,Female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",United States of America,USA,81.0
1983,Peace,The Nobel Peace Prize 1983,,1-Jan,Individual,Lech Walesa,1943-09-29,Popowo,Poland,Poland,Male,,,,POL,40.0
1983,Physics,The Nobel Prize in Physics 1983,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",2-Jan,Individual,Subramanyan Chandrasekhar,1910-10-19,Lahore,India (Pakistan),Pakistan,Male,University of Chicago,"Chicago, IL",United States of America,PAK,73.0
1983,Physics,The Nobel Prize in Physics 1983,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",2-Jan,Individual,William Alfred Fowler,1911-08-09,"Pittsburgh, PA",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,USA,72.0
1984,Chemistry,The Nobel Prize in Chemistry 1984,"""for his development of methodology for chemical synthesis on a solid matrix""",1-Jan,Individual,Robert Bruce Merrifield,1921-07-15,"Fort Worth, TX",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America,USA,63.0
1984,Economics,The Sveriges Riksbank Prize in Economic Sciences 1984,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",1-Jan,Individual,Richard Stone,1913-08-30,London,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR,71.0
1984,Literature,The Nobel Prize in Literature 1984,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",1-Jan,Individual,Jaroslav Seifert,1901-09-23,Prague,Austria-Hungary (Czech Republic),Czech Republic,Male,,,,CZE,83.0
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3-Jan,Individual,César Milstein,1927-10-08,Bahia Blanca,Argentina,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,ARG,57.0
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3-Jan,Individual,Georges J.F. Köhler,1946-04-17,Munich,Germany,Germany,Male,Basel Institute for Immunology,Basel,Switzerland,DEU,38.0
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3-Jan,Individual,Niels K. Jerne,1911-12-23,London,United Kingdom,United Kingdom,Male,Basel Institute for Immunology,Basel,Switzerland,GBR,73.0
1984,Peace,The Nobel Peace Prize 1984,,1-Jan,Individual,Desmond Mpilo Tutu,1931-10-07,Klerksdorp,South Africa,South Africa,Male,,,,ZAF,53.0
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",2-Jan,Individual,Carlo Rubbia,1934-03-31,Gorizia,Italy,Italy,Male,CERN,Geneva,Switzerland,ITA,50.0
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",2-Jan,Individual,Simon van der Meer,1925-11-24,the Hague,Netherlands,Netherlands,Male,CERN,Geneva,Switzerland,NLD,59.0
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",2-Jan,Individual,Herbert A. Hauptman,1917-02-14,"New York, NY",United States of America,United States of America,Male,The Medical Foundation of Buffalo,"Buffalo, NY",United States of America,USA,68.0
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",2-Jan,Individual,Jerome Karle,1918-06-18,"New York, NY",United States of America,United States of America,Male,US Naval Research Laboratory,"Washington, DC",United States of America,USA,67.0
1985,Economics,The Sveriges Riksbank Prize in Economic Sciences 1985,"""for his pioneering analyses of saving and of financial markets""",1-Jan,Individual,Franco Modigliani,1918-06-18,Rome,Italy,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,ITA,67.0
1985,Literature,The Nobel Prize in Literature 1985,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",1-Jan,Individual,Claude Simon,1913-10-10,Tananarive (Antananarivo),Madagascar,Madagascar,Male,,,,MDG,72.0
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",2-Jan,Individual,Joseph L. Goldstein,1940-04-18,"Sumter, SC",United States of America,United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,USA,45.0
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",2-Jan,Individual,Michael S. Brown,1941-04-13,"New York, NY",United States of America,United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,USA,44.0
1985,Peace,The Nobel Peace Prize 1985,,1-Jan,Organization,International Physicians for the Prevention of Nuclear War,,,,,,,,,,
1985,Physics,The Nobel Prize in Physics 1985,"""for the discovery of the quantized Hall effect""",1-Jan,Individual,Klaus von Klitzing,1943-06-28,Schroda,German-occupied Poland (Poland),Poland,Male,Max-Planck-Institut,Stuttgart,Germany,POL,42.0
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",3-Jan,Individual,Dudley R. Herschbach,1932-06-18,"San José, CA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA,54.0
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",3-Jan,Individual,John C. Polanyi,1929-01-23,Berlin,Germany,Germany,Male,University of Toronto,Toronto,Canada,DEU,57.0
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",3-Jan,Individual,Yuan T. Lee,1936-11-19,Hsinchu,Taiwan,Taiwan,Male,University of California,"Berkeley, CA",United States of America,SYR,50.0
1986,Economics,The Sveriges Riksbank Prize in Economic Sciences 1986,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",1-Jan,Individual,James M. Buchanan Jr.,1919-10-03,"Murfreesboro, TN",United States of America,United States of America,Male,Center for Study of Public Choice,"Fairfax, VA",United States of America,USA,67.0
1986,Literature,The Nobel Prize in Literature 1986,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",1-Jan,Individual,Wole Soyinka,1934-07-13,Abeokuta,Nigeria,Nigeria,Male,,,,NGA,52.0
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",2-Jan,Individual,Rita Levi-Montalcini,1909-04-22,Turin,Italy,Italy,Female,Institute of Cell Biology of the C.N.R.,Rome,Italy,ITA,77.0
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",2-Jan,Individual,Stanley Cohen,1922-11-17,"Brooklyn, NY",United States of America,United States of America,Male,Vanderbilt University,"Nashville, TN",United States of America,USA,64.0
1986,Peace,The Nobel Peace Prize 1986,,1-Jan,Individual,Elie Wiesel,1928-09-30,Sighet,Romania,Romania,Male,,,,ROU,58.0
1986,Physics,The Nobel Prize in Physics 1986,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",2-Jan,Individual,Ernst Ruska,1906-12-25,Heidelberg,Germany,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,DEU,80.0
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",4-Jan,Individual,Gerd Binnig,1947-07-20,Frankfurt-on-the-Main,West Germany (Germany),Germany,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,DEU,39.0
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",4-Jan,Individual,Heinrich Rohrer,1933-06-06,Buchs,Switzerland,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,CHE,53.0
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3-Jan,Individual,Charles J. Pedersen,1904-10-03,Pusan,Korea (South Korea),Korea (South Korea),Male,Du Pont,"Wilmington, DE",United States of America,KOR,83.0
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3-Jan,Individual,Donald J. Cram,1919-04-22,"Chester, VT",United States of America,United States of America,Male,University of California,"Los Angeles, CA",United States of America,USA,68.0
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3-Jan,Individual,Jean-Marie Lehn,1939-09-30,Rosheim,France,France,Male,Université Louis Pasteur,Strasbourg,France,FRA,48.0
1987,Economics,The Sveriges Riksbank Prize in Economic Sciences 1987,"""for his contributions to the theory of economic growth""",1-Jan,Individual,Robert M. Solow,1924-08-23,"Brooklyn, NY",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,USA,63.0
1987,Literature,The Nobel Prize in Literature 1987,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",1-Jan,Individual,Joseph Brodsky,1940-05-24,Leningrad (Saint Petersburg),Union of Soviet Socialist Republics (Russia),Russia,Male,,,,RUS,47.0
1987,Medicine,The Nobel Prize in Physiology or Medicine 1987,"""for his discovery of the genetic principle for generation of antibody diversity""",1-Jan,Individual,Susumu Tonegawa,1939-09-06,Nagoya,Japan,Japan,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,JPN,48.0
1987,Peace,The Nobel Peace Prize 1987,"""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year""",1-Jan,Individual,Oscar Arias Sánchez,1941-09-13,Heredia,Costa Rica,Costa Rica,Male,,,,CRI,46.0
1987,Physics,The Nobel Prize in Physics 1987,"""for their important break-through in the discovery of superconductivity in ceramic materials""",2-Jan,Individual,J. Georg Bednorz,1950-05-16,Neuenkirchen,West Germany (Germany),Germany,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,DEU,37.0
1987,Physics,The Nobel Prize in Physics 1987,"""for their important break-through in the discovery of superconductivity in ceramic materials""",2-Jan,Individual,K. Alexander Müller,1927-04-20,Basel,Switzerland,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,CHE,60.0
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3-Jan,Individual,Hartmut Michel,1948-07-18,Ludwigsburg,West Germany (Germany),Germany,Male,Max-Planck-Institut,Frankfurt-on-the-Main,Germany,DEU,40.0
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3-Jan,Individual,Johann Deisenhofer,1943-09-30,Zusamaltheim,Germany,Germany,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,DEU,45.0
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3-Jan,Individual,Robert Huber,1937-02-20,Munich,Germany,Germany,Male,Max-Planck-Institut,Martinsried,Germany,DEU,51.0
1988,Economics,The Sveriges Riksbank Prize in Economic Sciences 1988,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",1-Jan,Individual,Maurice Allais,1911-05-31,Paris,France,France,Male,École Nationale Supérieur des Mines de Paris,Paris,France,FRA,77.0
1988,Literature,The Nobel Prize in Literature 1988,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",1-Jan,Individual,Naguib Mahfouz,1911-12-11,Cairo,Egypt,Egypt,Male,,,,EGY,77.0
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",3-Jan,Individual,George H. Hitchings,1905-04-18,"Hoquiam, WA",United States of America,United States of America,Male,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,USA,83.0
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",3-Jan,Individual,Gertrude B. Elion,1918-01-23,"New York, NY",United States of America,United States of America,Female,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,USA,70.0
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",3-Jan,Individual,Sir James W. Black,1924-06-14,Uddingston,Scotland,United Kingdom,Male,London University,London,United Kingdom,GBR,64.0
1988,Peace,The Nobel Peace Prize 1988,,1-Jan,Organization,United Nations Peacekeeping Forces,,,,,,,,,,
